review_id,prof_ID,rating,predicted_topic,review_clauses,similarity
1,787,5.0,workload,"this class is hard, but its a two in one gen ed knockout, and the content is very stimulating.",[0.51 0.34 0.57]
1,787,5.0,workload,"unlike most classes, you have to actually participate to pass.",[0.43 0.38 0.62]
1,787,5.0,workload,sections are easy and offer extra credit every week.,[0.30 0.22 0.37]
1,787,5.0,misc,very funny dude.,[0.09 -0.00 0.01]
1,787,5.0,misc,not much more i can say.,[0.07 0.09 0.11]
2,787,5.0,instructional_effectiveness,definitely going to choose professor looney's class again!,[0.43 0.26 0.35]
2,787,5.0,workload,interesting class and easy a. you can bring notes to exams so you don't need to remember a lot.,[0.50 0.32 0.61]
2,787,5.0,workload,lots of bonus points available and the observatory sessions are awesome!,[0.26 0.13 0.30]
3,787,4.0,instructional_effectiveness,i overall enjoyed this class because the assignments were straightforward and interesting.,[0.60 0.40 0.56]
3,787,4.0,misc,i just didn't enjoy the video project because i felt like no one in my group cared enough to help.,[0.21 0.13 0.23]
4,787,5.0,fairness,"yes, it's possible to get an a",[0.20 0.36 0.35]
4,787,5.0,misc,but you'll definitely have to work for it.,[0.05 0.07 0.18]
4,787,5.0,workload,"the content is pretty interesting, but you have tog get super organized in this class.",[0.58 0.25 0.61]
4,787,5.0,workload,you'll have multiple things due every week and a ton lectures to go over.,[0.43 0.30 0.67]
4,787,5.0,workload,"if possible, i'd avoid this class as an 8 week course.",[0.37 0.31 0.49]
4,787,5.0,workload,you'll definitely always have somethingto do in this class.,[0.42 0.17 0.43]
5,787,5.0,instructional_effectiveness,"professor looney has great knowledge in astronomy, while he can explain them in a super easy way in an elementary class.",[0.43 0.13 0.19]
5,787,5.0,instructional_effectiveness,he taught this class with great passion and great illustration.,[0.57 0.25 0.29]
5,787,5.0,instructional_effectiveness,this class is definitely fun to take.,[0.48 0.26 0.47]
5,787,5.0,instructional_effectiveness,"if you are interested in further knowledge that this class won't cover, don't hesitate to ask him.",[0.48 0.21 0.35]
5,787,5.0,instructional_effectiveness,great teacher.,[0.46 0.26 0.26]
6,787,5.0,instructional_effectiveness,looney is a super funny guy and this class was really interesting.,[0.39 0.18 0.23]
6,787,5.0,misc,"it wasn't a complete blow off, but it wasn't too bad.",[-0.02 0.12 0.07]
6,787,5.0,workload,just do all the homework observation sessions and study a bit the night before exams and you should pull an a. i would definitely recommend him for a science gen ed.,[0.44 0.45 0.47]
6,787,5.0,workload,there was no text book and no final.,[0.23 0.24 0.39]
7,787,5.0,instructional_effectiveness,professor looney is the bomb.,[0.29 0.11 0.13]
7,787,5.0,instructional_effectiveness,"he is a truly good teacher, and really explains material thoroughly.",[0.64 0.29 0.29]
7,787,5.0,instructional_effectiveness,he is also absolutely hilarious and makes me laugh every class.,[0.36 0.22 0.19]
7,787,5.0,instructional_effectiveness,"i would highly recommend him and this course to anyone i am far from a science lover, but this class has helped me enjoy, i repeat, enjoy science!!",[0.43 0.20 0.24]
8,787,5.0,instructional_effectiveness,professor leslie looney is honestly amazing.,[0.35 0.14 0.15]
8,787,5.0,instructional_effectiveness,i would call this my first positive experience with a science class!,[0.42 0.29 0.35]
8,787,5.0,instructional_effectiveness,"in addition to being truly good at teaching, he makes class interesting.",[0.61 0.29 0.28]
8,787,5.0,misc,i literally lol almost every period.,[0.06 0.03 0.06]
8,787,5.0,misc,looney forever!!!,[0.02 -0.02 -0.10]
9,787,5.0,misc,looney is a beast.,[0.10 0.05 -0.01]
9,787,5.0,instructional_effectiveness,best professor on campus and this class is extremely interesting.,[0.48 0.22 0.41]
9,787,5.0,workload,it is the easiest astronomy and physical science class you will find.,[0.37 0.21 0.43]
10,787,5.0,workload,"the homework, exams, and lab could trip you up if you're expecting a blow off class, but otherwise its great.",[0.43 0.37 0.59]
10,787,5.0,instructional_effectiveness,looney is very enthusiastic and the course is full of interesting content,[0.49 0.26 0.41]
11,787,4.5,instructional_effectiveness,he is one of the most enthusiastic and off the walls professors you'll ever meet.,[0.39 0.15 0.23]
11,787,4.5,fairness,his grading is very fair.,[0.33 0.68 0.31]
11,787,4.5,workload,the exams aren't bad considering you can use a notes sheet.,[0.36 0.38 0.65]
11,787,4.5,misc,there's lots of iclickers,[0.09 -0.04 0.05]
11,787,4.5,workload,so you have to show up to class.,[0.33 0.30 0.49]
11,787,4.5,misc,there's no book used.,[0.14 0.03 0.18]
11,787,4.5,workload,take this class its fun and interesting!,[0.39 0.13 0.42]
12,787,5.0,misc,sexy boy.,[0.08 0.04 -0.02]
12,787,5.0,workload,killer skies was one of the best classes i've taken.,[0.26 0.19 0.28]
12,787,5.0,instructional_effectiveness,looney kept me excited for class and did presentations effectively and with great humor.,[0.43 0.14 0.20]
12,787,5.0,misc,highly recommend him in general.,[0.20 0.07 0.06]
12,787,5.0,workload,online quizzes were tough but given multiple chances.,[0.31 0.35 0.46]
12,787,5.0,workload,exams are somewhat hard so study.,[0.33 0.31 0.55]
12,787,5.0,instructional_effectiveness,"never a dry moment, great guy, great topics.",[0.33 0.06 0.14]
12,787,5.0,misc,you're gonna have fun.,[0.07 -0.02 0.09]
12,787,5.0,misc,ciao,[0.09 0.07 0.06]
13,787,5.0,instructional_effectiveness,excellent professor.,[0.46 0.21 0.26]
13,787,5.0,misc,"hilarious, fun, and good.",[0.18 0.11 0.09]
14,787,4.0,instructional_effectiveness,loved his killer skies class!,[0.26 0.23 0.19]
14,787,4.0,instructional_effectiveness,he's very funny and allows you to bring in a sheet of notes for each test and even the final!,[0.46 0.35 0.37]
14,787,4.0,instructional_effectiveness,"theres no textbook, but you have to use his ppt slides alot for the homework and cheat sheets.",[0.37 0.18 0.34]
14,787,4.0,workload,"the homework is quite hard tho, even with the ppt slides given to you.",[0.38 0.19 0.45]
14,787,4.0,misc,"but you get unlimited number of tries, and the highest score is taken",[0.01 0.25 0.10]
15,787,4.0,instructional_effectiveness,"a kind, knowledgeable, phenomenal teacher.",[0.46 0.32 0.26]
15,787,4.0,instructional_effectiveness,i would recommend any of his classes.,[0.38 0.17 0.31]
15,787,4.0,instructional_effectiveness,"he is hilarious, engaging, and intelligent.",[0.33 0.04 0.06]
15,787,4.0,instructional_effectiveness,"this class was so far from my major, and yet i enjoyed class everyday.",[0.46 0.22 0.44]
15,787,4.0,misc,"study, its astronomy.",[0.25 0.06 0.23]
15,787,4.0,misc,but looney is fantastic.,[0.11 0.05 -0.03]
16,787,3.0,instructional_effectiveness,"i hnonestly can say that leslie looney is the only reason i go to class that, and the iclicker credit.",[0.41 0.22 0.27]
16,787,3.0,instructional_effectiveness,"i can't say that i've actually learned anything in this class, though looney is fairly entertaining.",[0.51 0.19 0.34]
17,787,5.0,misc,he is absolutely amazing!,[0.14 0.07 -0.03]
17,787,5.0,instructional_effectiveness,a complete riot and wonderful professor.,[0.41 0.23 0.27]
17,787,5.0,instructional_effectiveness,class is never boring and something new is taught daily.,[0.44 0.20 0.31]
17,787,5.0,workload,online homework is a breeze and tests aren't horrible.,[0.34 0.25 0.48]
17,787,5.0,workload,studying is necessary for them though.,[0.39 0.28 0.48]
18,787,4.5,misc,he is amazing!,[0.12 0.03 -0.05]
18,787,4.5,instructional_effectiveness,the funnest class i have had all semester.,[0.43 0.27 0.41]
18,787,4.5,instructional_effectiveness,he's knows his material and is always willing to help.,[0.46 0.14 0.18]
19,787,5.0,instructional_effectiveness,best professor i've had so far!,[0.40 0.25 0.23]
19,787,5.0,instructional_effectiveness,"he is informative, clear and funny.",[0.49 0.10 0.11]
19,787,5.0,workload,makes you actually wanna go to class... gotta do homework regularly and study for the test they aren't bad if you do.,[0.45 0.32 0.54]
20,787,4.5,instructional_effectiveness,great professor and great class!,[0.48 0.29 0.35]
20,787,4.5,workload,"i recommend taking this course, it was a physical science and quantitive reasoning ii course.",[0.36 0.21 0.39]
21,544,5.0,instructional_effectiveness,doctor wager is a great professor.,[0.39 0.23 0.24]
21,544,5.0,workload,her expectations were clear and she really wants to help you succeed.,[0.22 0.25 0.28]
21,544,5.0,instructional_effectiveness,she was always entertaining and knew what she was talking about.,[0.29 0.08 0.06]
21,544,5.0,workload,i took her hybrid course which i would definitely recommend.,[0.29 0.21 0.29]
22,544,5.0,misc,i love professor wager.,[0.20 0.11 0.06]
22,544,5.0,misc,she's hilarious and dedicated.,[0.19 0.04 0.08]
22,544,5.0,misc,i took this as the hybrid block,[0.07 0.04 0.03]
22,544,5.0,misc,and i loved it.,[0.07 0.03 0.01]
22,544,5.0,workload,"it is fast paced, but not a ton of work.",[0.25 0.22 0.48]
22,544,5.0,workload,"the final is only a 5 page paper, and you can revise your essays as many times as you want.",[0.30 0.30 0.33]
22,544,5.0,workload,she really wants you to do well and helps you as much as you can.,[0.30 0.30 0.33]
22,544,5.0,instructional_effectiveness,"if i could take every class with her, i would.",[0.26 0.20 0.22]
23,544,5.0,workload,taken as hybrid course.,[0.39 0.28 0.48]
23,544,5.0,instructional_effectiveness,it was good taking it with this teacher.,[0.50 0.38 0.46]
23,544,5.0,workload,especially in a hybrid course she only assigns stuff that is needed.,[0.47 0.40 0.52]
23,544,5.0,workload,be aware if you take this in a hybrid class there will be something due every time before the next class.,[0.44 0.27 0.48]
23,544,5.0,workload,course work is easy if you are committed to it and turn it in on time.,[0.32 0.25 0.60]
23,544,5.0,fairness,peer reviews are not accepted late.,[0.03 0.25 0.12]
24,544,4.0,instructional_effectiveness,"good teacher, i took this as a second block class on accident.",[0.47 0.29 0.34]
24,544,4.0,workload,"lots of reading in the class, not super necessary for the lectures.",[0.60 0.31 0.66]
24,544,4.0,instructional_effectiveness,"but a fun teacher who's excited to share english with students, normal amount of homework assignments and a small 5 page paper due at finals.",[0.45 0.31 0.43]
24,544,4.0,misc,8 10,[0.06 0.22 0.08]
25,544,2.0,instructional_effectiveness,"overall she is a fine professor but there are a lot of little things like not very clear assignments, gradings are sometimes weird.",[0.40 0.36 0.33]
25,544,2.0,workload,didn't do one peer review on time don't expect to get an a.,[0.27 0.46 0.48]
26,544,4.0,instructional_effectiveness,wager is a great professor!,[0.39 0.26 0.25]
26,544,4.0,instructional_effectiveness,she makes the class lively and is absolutely hilarious.,[0.45 0.25 0.27]
26,544,4.0,workload,i took the hybrid block course.,[0.32 0.24 0.40]
26,544,4.0,workload,as long as you do the assignments on time it's an easy a. the only complaints i have are a lot of the examples content is politically influenced liberal and she doesn't always describe assignments or what is expected of you well.,[0.46 0.49 0.59]
27,544,4.5,instructional_effectiveness,jans does an excellent job of teaching the basics and technical aspects of cinema while putting a feminist progressive spin on things.,[0.44 0.17 0.19]
27,544,4.5,instructional_effectiveness,great professor who cares that her class learn new perspectives from her lectures.,[0.59 0.25 0.29]
27,544,4.5,fairness,she is a solid grader and gave great feedback whenever i asked for it.,[0.44 0.55 0.33]
27,544,4.5,instructional_effectiveness,my writing skills have improved from taking this course!,[0.53 0.25 0.41]
28,544,5.0,instructional_effectiveness,really enjoyed her class.,[0.48 0.35 0.39]
28,544,5.0,workload,took it as a hybrid block class so it was very fast paced and all the assignments were submitted online.,[0.38 0.36 0.63]
28,544,5.0,instructional_effectiveness,she was very clear about how she wanted you to write and was very willing to help.,[0.33 0.17 0.21]
28,544,5.0,instructional_effectiveness,"i would take her again, i was very impressed with her teaching style.",[0.34 0.32 0.27]
29,544,5.0,misc,jans is great!,[0.16 0.08 0.06]
29,544,5.0,instructional_effectiveness,she is a fantastic teacher and her class was both interesting and lively.,[0.55 0.29 0.29]
29,544,5.0,instructional_effectiveness,"she does expect you to read a lot out of the book, and other sources as well.",[0.39 0.19 0.38]
29,544,5.0,instructional_effectiveness,she is a very lively teacher and you can tell she loves the subject she teaches!,[0.50 0.28 0.28]
30,544,5.0,instructional_effectiveness,she's one of my favorite teachers i've taken.,[0.39 0.22 0.22]
30,544,5.0,workload,i actually took her last semester,[0.25 0.27 0.33]
30,544,5.0,misc,but i liked her enough that i thought everyone should still know she's awesome.,[0.06 0.04 -0.06]
30,544,5.0,workload,she is clear on the work and you go over it in class.,[0.49 0.40 0.50]
30,544,5.0,misc,i would've taken her for 2010 as well if she offered it..,[-0.02 0.10 0.02]
31,544,4.0,instructional_effectiveness,i found professor wager very helpful.,[0.35 0.16 0.29]
31,544,4.0,instructional_effectiveness,"she does have a specific way she wants you to write, but does make it clear after the first few assignments.",[0.37 0.32 0.36]
